2012PN200058,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-06-27 12:32,VERTICAL INTEGRATED,WATER,2.24,,12.4,,0.076,,0.47,,48.6,,0.005,,0.001,,16.4,,0.012,,0.05,,0.003,,0.06,,0.049,,1.3,,0.009,,0.01,L,0.001,,50.4,,0.025,,0.058,,4.17,,1,,0.642,,1,,0.003,L,0.005,L,0.001,,0.609,L,0.01,,0.21,,0.001,,173,,0.01,,0.006,,0.008,,0.7,,0.002,,0.338,,0.299,,0.066,,0.7,,0.1,,2710,,0.122,,2.19,,94.9,,0.162,,0.036,,13.1,,0.068,,5.62,,0.499,,3.51,,1.81,,4.95,,0.852,,0.07,,0.006,,4240,,2.6,,2.34,,7.57,,123,,0.864,,5.54,,0.092,L,0.005,,0.001,,5.71,,0.39,,0.32,,0.029,,200,,0.01,,0.058,,0.075,,33.5,,0.011,,0.509,,7.05,,2.28,,15.8,,1.7
2012PN200059,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-06-27 12:48,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,13.8,,0.079,,0.47,,49,,0.005,,0.001,,14,,0.014,,0.06,,0.003,,0.06,,0.042,,1.38,,0.01,,0.01,L,0.001,,46.5,,0.028,,0.042,,3.97,,0.72,,0.684,,1.03,,0.004,L,0.005,L,0.001,,0.61,L,0.01,,0.2,,0.001,,183,L,0.01,,0.005,,0.021,,0.8,,0.003,,0.357,,0.305,,0.063,,0.5,,0.1,,2600,,0.138,,2.22,,102,,0.166,,0.038,,13.6,,0.075,,5.95,,0.513,,3.38,,1.84,,5.31,,0.858,,0.07,,0.006,,4450,,2.76,,2.5,,7.5,,131,,0.913,,5.57,,0.092,L,0.005,,0.001,,5.9,,0.46,,0.34,,0.025,,208,,0.01,,0.057,,0.101,,33.7,,0.012,,0.566,,6.92,,2.52,,14.9,,1.7
2012PN200060,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2012-06-05 12:33,TRIPLICATE SAMPLE,WATER,,,7.4,,0.068,,0.47,,49.2,,0.004,,0.001,,17.2,,0.012,,0.031,,0.003,,0.04,,0.058,,1.13,,0.006,,0.01,L,0.001,,22.9,,0.016,,0.029,,5.52,,0.41,,0.65,,1.07,,0.002,L,0.005,L,0.001,,0.791,L,0.01,,0.11,,0.001,,182,L,0.01,,0.004,,0.006,,0.4,,0.005,,0.392,,0.242,,0.056,,0.5,,0.1,,856,,0.099,,1.29,,75.3,,0.061,,0.015,,18.5,,0.035,,2.46,,0.19,,1.14,,0.734,,2.39,,0.303,,0.04,,0.002,,1630,,1.11,,0.872,,7.12,,65.3,,0.756,,2.94,,0.056,L,0.005,L,0.001,,2.75,,0.13,,0.21,,0.011,,226,L,0.01,,0.025,,0.037,,16.1,,0.007,,0.508,,2.53,,0.989,,5.5,,0.9
2012PN200061,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2012-06-05 12:38,TRIPLICATE SAMPLE,WATER,,,6.5,,0.078,,0.53,,50.3,,0.004,,0.001,,16.5,,0.014,,0.026,,0.003,,0.04,,0.067,,1.42,,0.006,,0.01,L,0.001,,22.6,,0.017,,0.023,,5.72,,0.39,,0.66,,1.34,,0.003,L,0.005,L,0.001,,0.806,L,0.01,,0.16,,0.002,,207,L,0.01,,0.006,,0.011,,0.4,,0.002,,0.398,,0.275,,0.058,,0.6,,0.2,,863,,0.092,,1.3,,74,,0.055,,0.015,,21.1,,0.032,,2.17,,0.192,,1.16,,0.696,,2.42,,0.292,,0.05,,0.001,,1620,,1.01,,0.853,,7.06,,63.7,,0.779,,2.86,,0.043,L,0.005,L,0.001,,2.75,,0.11,,0.22,,0.008,,224,L,0.01,,0.024,,0.084,,15.9,,0.011,,0.495,,2.66,,0.879,,5.1,,0.9
2012PN200067,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2012-06-19 11:49,VERTICAL INTEGRATED,WATER,3,,16.2,,0.106,,0.52,,56,,0.005,,0.001,,15,,0.04,,0.081,,0.004,,0.06,,0.055,,1.69,,0.013,,0.01,L,0.001,,43.3,,0.042,,0.043,,3.95,,1.22,,0.891,,1.55,,0.004,L,0.005,L,0.001,,0.633,L,0.01,,0.27,,0.002,,197,L,0.01,,0.005,,0.023,,0.6,,0.004,,0.452,,0.359,,0.107,,0.5,,0.2,,6640,,0.238,,4.69,,181,,0.365,,0.093,,17.2,,0.173,,14.3,,1.13,,9.49,,4.51,,11.7,,2.13,,0.11,,0.015,,11100,,6.3,,5.86,,11.5,,298,,1.34,,13.7,,0.217,,0.005,,0.002,,12.3,,1.38,,0.59,,0.065,,245,,0.01,,0.134,,0.286,,77.7,,0.021,,0.933,,17.8,,5.46,,35.6,,3.4
2012PN200068,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2012-06-19 12:50,VERTICAL INTEGRATED,WATER,6.69,,8.8,,0.089,,0.48,,51.2,,0.005,L,0.001,,15,,0.007,,0.049,,0.002,,0.05,,0.044,,1.48,,0.009,,0.01,L,0.001,,37.4,,0.029,,0.026,,4.35,,0.54,,0.792,,1.36,,0.002,L,0.005,L,0.001,,0.63,L,0.01,,0.18,,0.001,,174,L,0.01,,0.004,,0.006,,0.5,,0.004,,0.404,,0.309,,0.089,,0.2,,0.2,,5610,,0.218,,4.11,,158,,0.32,,0.084,,18.4,,0.149,,12.4,,0.975,,8.54,,3.87,,10.1,,1.82,,0.1,,0.013,,9720,,5.44,,5.05,,11.1,,257,,1.23,,11.9,,0.197,,0.006,,0.001,,10.7,,1.1,,0.52,,0.059,,222,,0.01,,0.113,,0.233,,70.4,,0.02,,0.799,,15.2,,4.73,,32.5,,3
2012PN200069,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2012-06-19 13:11,VERTICAL INTEGRATED,WATER,4.98,,6.4,,0.093,,0.5,,49.5,,0.005,L,0.001,,17.5,,0.01,,0.043,,0.002,,0.05,,0.046,,1.52,,0.008,,0.01,L,0.001,,33.7,,0.023,,0.035,,4.6,,0.53,,0.777,,1.46,,0.002,L,0.005,L,0.001,,0.644,L,0.01,,0.24,,0.001,,178,L,0.01,,0.004,,0.007,,0.3,,0.004,,0.375,,0.306,,0.086,,0.3,,0.2,,5100,,0.2,,3.86,,147,,0.296,,0.072,,19.9,,0.14,,11.5,,0.934,,7.45,,3.6,,9.47,,1.66,,0.09,,0.013,,9140,,5.05,,4.72,,10.7,,242,,1.16,,11,,0.179,,0.005,,0.001,,10,,1.02,,0.49,,0.057,,213,,0.01,,0.108,,0.201,,65.6,,0.025,,0.757,,14,,4.4,,28.7,,2.9
2012PN200070,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2012-06-19 13:15,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,9.2,,0.102,,0.48,,54.2,,0.007,,0.001,,14.5,,0.01,,0.053,,0.003,,0.05,,0.045,,1.55,,0.01,,0.01,L,0.001,,30.4,,0.029,,0.024,,4.15,,0.47,,0.878,,1.47,,0.002,L,0.005,L,0.001,,0.655,L,0.01,,0.18,,0.001,,185,L,0.01,,0.004,,0.024,,0.5,,0.003,,0.443,,0.33,,0.096,,0.4,,0.2,,6260,,0.238,,4.62,,177,,0.363,,0.089,,16.2,,0.187,,14.7,,1.09,,9.08,,4.51,,11.4,,2.03,,0.11,,0.014,,11000,,6.41,,5.87,,11.6,,299,,1.3,,13.4,,0.21,L,0.005,,0.002,,11.9,,1.37,,0.56,,0.068,,238,,0.01,,0.134,,0.274,,77.1,,0.02,,0.91,,16.9,,5.7,,35.2,,3.2
2012PN200071,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2012-06-20 10:48,VERTICAL INTEGRATED,WATER,4.27,,9,,0.101,,0.46,,55.7,,0.006,L,0.001,,13.6,,0.012,,0.045,,0.003,,0.05,,0.046,,1.54,,0.009,,0.01,L,0.001,,28.4,,0.034,,0.024,,4.29,,0.67,,0.879,,1.38,,0.003,L,0.005,L,0.001,,0.662,L,0.01,,0.22,,0.001,,177,,0.01,,0.005,,0.043,,0.3,,0.005,,0.439,,0.321,,0.091,,0.4,,0.2,,5600,,0.225,,4.01,,161,,0.318,,0.082,,17.2,,0.143,,12.1,,1.02,,8.12,,3.85,,10.2,,1.82,,0.11,,0.013,,9500,,5.45,,5.14,,10.6,,249,,1.21,,11.8,,0.191,,0.005,,0.002,,10.8,,1.16,,0.51,,0.06,,228,L,0.01,,0.12,,0.338,,71.1,,0.018,,0.831,,15.2,,4.7,,34.3,,3
2012PN200072,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2012-06-20 12:02,VERTICAL INTEGRATED,WATER,2.46,,8,,0.087,,0.47,,48.8,,0.005,L,0.001,,18.2,,0.023,,0.057,,0.004,,0.05,,0.047,,1.39,,0.009,,0.01,L,0.001,,37.6,,0.03,,0.032,,4.67,,0.79,,0.7,,1.3,,0.001,L,0.005,L,0.001,,0.636,L,0.01,,0.17,,0.001,,163,L,0.01,,0.005,,0.017,,0.5,,0.004,,0.369,,0.313,,0.095,,0.3,,0.2,,5220,,0.197,,3.67,,145,,0.286,,0.071,,19.5,,0.127,,10.9,,0.932,,7.55,,3.5,,9.62,,1.68,,0.09,,0.012,,8690,,5.01,,4.49,,10.2,,229,,1.09,,10.5,,0.187,,0.006,,0.002,,10.1,,0.97,,0.45,,0.053,,210,,0.01,,0.107,,0.251,,65.3,,0.016,,0.757,,14,,4.28,,27.7,,3.1
2012PN200073,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2012-06-20 12:27,VERTICAL INTEGRATED,WATER,6.55,,8.1,,0.084,,0.49,,49.6,,0.008,,0.001,,16.9,,0.017,,0.05,,0.003,,0.06,,0.056,,1.57,,0.01,,0.01,L,0.001,,36.6,,0.027,,0.028,,4.77,,1.18,,0.734,,1.4,,0.002,L,0.005,L,0.001,,0.643,L,0.01,,0.2,,0.001,,168,,0.01,,0.005,,0.041,,0.4,,0.002,,0.368,,0.322,,0.091,,0.3,,0.2,,5090,,0.196,,3.53,,141,,0.272,,0.068,,20.5,,0.121,,10.5,,0.913,,7.33,,3.38,,8.72,,1.64,,0.1,,0.011,,8390,,4.83,,4.22,,10.2,,224,,1.07,,10.1,,0.182,L,0.005,,0.001,,9.91,,0.98,,0.45,,0.049,,205,,0.01,,0.103,,0.258,,68,,0.02,,0.706,,13.7,,4.04,,26.2,,3.1
2012PN200074,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2012-06-20 12:30,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,8.1,,0.092,,0.5,,52.5,,0.005,,0.001,,15.3,,0.013,,0.05,,0.002,,0.06,,0.054,,1.6,,0.009,,0.01,L,0.001,,34,,0.027,,0.067,,4.44,,0.68,,0.799,,1.51,,0.002,L,0.005,L,0.001,,0.535,L,0.01,,0.23,,0.002,,187,L,0.01,,0.003,,0.02,,0.5,,0.004,,0.422,,0.341,,0.094,,0.5,,0.2,,4920,,0.208,,3.87,,154,,0.309,,0.077,,16.8,,0.145,,11.6,,0.941,,7.12,,3.6,,9.82,,1.68,,0.12,,0.011,,8240,,5.28,,4.9,,10.3,,240,,1.17,,11,,0.18,L,0.005,,0.001,,10.3,,0.9,,0.48,,0.057,,220,,0.01,,0.113,,0.239,,63.8,,0.017,,0.811,,13.5,,4.66,,28.9,,2.8
2012PN200075,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-06-21 10:05,VERTICAL INTEGRATED,WATER,3.11,,9.5,,0.092,,0.46,,55.8,,0.005,L,0.001,,12,,0.01,,0.041,,0.003,,0.05,,0.049,,1.46,,0.01,,0.01,L,0.001,,24,,0.024,,0.026,,3.86,,0.67,,0.827,,1.39,,0.002,L,0.005,L,0.001,,0.592,L,0.01,,0.24,,0.001,,186,L,0.01,,0.006,,0.018,,0.3,,0.002,,0.428,,0.317,,0.081,,0.5,,0.2,,4400,,0.19,,3.26,,140,,0.259,,0.064,,14,,0.114,,8.93,,0.816,,6.33,,3,,8.02,,1.4,,0.07,,0.009,,7430,,4.15,,3.99,,8.88,,189,,1.12,,9.44,,0.149,,0.005,,0.001,,8.81,,0.91,,0.45,,0.049,,227,,0.01,,0.095,,0.177,,54.3,,0.014,,0.741,,11.7,,3.66,,24.4,,2.6
2012PN200076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:08,TRIPLICATE SAMPLE,WATER,3.17,,10.8,,0.089,,0.47,,55.2,,0.006,,0.001,,11.2,,0.034,,0.048,,0.003,,0.05,,0.053,,1.89,,0.01,,0.01,L,0.001,,25.3,,0.024,,0.03,,3.79,,0.59,,0.816,,1.47,,0.002,L,0.005,L,0.001,,0.568,L,0.01,,0.26,,0.002,,192,L,0.01,,0.006,,0.022,,0.6,,0.004,,0.421,,0.311,,0.081,,0.4,,0.2,,4710,,0.186,,3.35,,141,,0.255,,0.063,,11.7,,0.115,,9.05,,0.839,,6.7,,2.99,,8.39,,1.46,,0.09,,0.01,,7700,,4.17,,3.99,,8.95,,186,,1.14,,9.66,,0.16,L,0.005,,0.001,,9.01,,0.81,,0.44,,0.049,,229,,0.02,,0.093,,0.177,,58.6,,0.014,,0.724,,12.4,,3.66,,24.4,,2.5
2012PN200077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-06-21 12:36,VERTICAL INTEGRATED,WATER,3.19,,9.2,,0.05,,0.43,,33.9,,0.005,L,0.001,,26.8,,0.012,,0.059,,0.003,,0.06,,0.061,,0.88,,0.006,,0.01,L,0.001,,55.4,,0.029,,0.03,,5.53,,1.49,,0.481,,0.94,,0.001,L,0.005,L,0.001,,0.668,L,0.01,,0.1,,0.001,,127,L,0.01,,0.004,,0.023,,0.5,,0.004,,0.218,,0.258,,0.081,,0.3,,0.1,,2610,,0.108,,1.97,,73.6,,0.14,,0.033,,27.9,,0.053,,5.21,,0.473,,3.65,,1.63,,4.33,,0.797,,0.06,,0.006,,4350,,2.39,,2.04,,8.61,,117,,0.655,,5.06,,0.1,L,0.005,,0.002,,5.69,,0.44,,0.24,,0.026,,154,L,0.01,,0.05,,0.136,,38,,0.012,,0.376,,7.05,,1.99,,12.2,,1.9
2012PN200078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-06-21 9:36,VERTICAL INTEGRATED,WATER,0.6,,15.8,,0.098,,0.51,,51.7,,0.004,L,0.001,,14,,0.015,,0.053,,0.004,,0.05,,0.065,,1.39,,0.012,,0.01,L,0.001,,29.8,,0.027,,0.037,,3.78,,0.84,,0.82,,1.35,,0.002,L,0.005,L,0.001,,0.567,L,0.01,,0.27,,0.002,,185,L,0.01,,0.006,,0.02,,0.6,,0.004,,0.411,,0.33,,0.083,,0.4,,0.2,,4950,,0.202,,3.61,,147,,0.274,,0.07,,15.1,,0.12,,10.1,,0.905,,7.04,,3.25,,8.59,,1.57,,0.1,,0.011,,8270,,4.7,,4.31,,9.69,,204,,1.19,,10.2,,0.172,L,0.005,,0.001,,9.61,,1.02,,0.49,,0.05,,231,L,0.01,,0.103,,0.223,,62.8,,0.015,,0.768,,13.1,,4.02,,26.6,,2.7
2012PN200079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-06-21 9:56,VERTICAL INTEGRATED,WATER,2.79,,9.9,,0.091,,0.49,,55.4,,0.005,L,0.001,,13.7,,0.036,,0.046,,0.003,,0.06,,0.063,,1.63,,0.01,,0.01,L,0.001,,28.9,,0.026,,0.034,,3.89,,0.72,,0.832,,1.46,,0.003,L,0.005,L,0.001,,0.611,L,0.01,,0.27,,0.002,,197,,0.01,,0.005,,0.011,,0.3,,0.005,,0.433,,0.32,,0.083,,0.8,,0.2,,4680,,0.195,,3.43,,142,,0.258,,0.065,,15.2,,0.124,,9.43,,0.86,,6.71,,3.13,,8.52,,1.49,,0.08,,0.011,,7960,,4.36,,4.08,,9.22,,198,,1.14,,9.9,,0.166,L,0.005,,0.001,,9.23,,0.99,,0.47,,0.045,,232,,0.01,,0.101,,0.187,,58.1,,0.015,,0.746,,12.6,,3.78,,25.3,,2.5
2012PN200080,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-06-21 10:28,VERTICAL INTEGRATED,WATER,2.8,,8.7,,0.093,,0.46,,54.3,,0.005,L,0.001,,11.3,,0.054,,0.039,,0.003,,0.05,,0.047,,1.4,,0.008,,0.01,L,0.001,,22.9,,0.022,,0.024,,3.75,,0.65,,0.804,,1.26,,0.002,L,0.005,L,0.001,,0.553,L,0.01,,0.21,,0.001,,183,L,0.01,,0.005,,0.014,,0.3,,0.005,,0.417,,0.295,,0.078,,0.4,,0.1,,4580,,0.187,,3.38,,141,,0.254,,0.065,,14.4,,0.122,,9.26,,0.838,,6.54,,3.04,,8.26,,1.47,,0.09,,0.01,,7670,,4.22,,4.03,,8.9,,193,,1.14,,9.67,,0.16,L,0.005,,0.001,,8.84,,0.87,,0.48,,0.045,,231,L,0.01,,0.095,,0.202,,62.8,,0.015,,0.738,,12.1,,3.71,,26.2,,2.5
2012PN200081,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-06-21 10:39,VERTICAL INTEGRATED,WATER,2.7,,9.6,,0.097,,0.51,,57.3,,0.005,L,0.001,,11.3,,0.018,,0.036,,0.003,,0.05,,0.05,,1.74,,0.009,,0.01,L,0.001,,22.2,,0.02,,0.023,,3.78,,0.56,,0.834,,1.39,,0.002,L,0.005,L,0.001,,0.574,L,0.01,,0.29,,0.002,,200,,0.01,,0.005,,0.032,,0.1,,0.002,,0.428,,0.329,,0.078,,0.4,,0.2,,4710,,0.196,,3.49,,146,,0.267,,0.066,,11.7,,0.125,,9.52,,0.877,,6.86,,3.2,,8.53,,1.51,,0.08,,0.01,,8030,,4.41,,4.18,,9.23,,200,,1.13,,10.1,,0.171,L,0.005,,0.001,,9.2,,0.94,,0.48,,0.048,,231,L,0.01,,0.1,,0.206,,65.9,,0.015,,0.754,,12.6,,3.95,,26.6,,2.6
2012PN200082,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-06-21 11:50,VERTICAL INTEGRATED,WATER,3.5,,9.6,,0.09,,0.47,,56,,0.005,L,0.001,,9.6,,0.012,,0.043,,0.003,,0.05,,0.053,,1.54,,0.01,,0.01,L,0.001,,26,,0.022,,0.024,,3.68,,0.65,,0.807,,1.38,,0.002,L,0.005,L,0.001,,0.557,L,0.01,,0.27,,0.002,,193,L,0.01,,0.006,,0.026,,0.3,,0.002,,0.421,,0.313,,0.08,,0.5,,0.1,,4500,,0.189,,3.15,,134,,0.25,,0.062,,12.7,,0.108,,8.71,,0.807,,6.4,,2.87,,7.73,,1.4,,0.08,,0.01,,7250,,4.02,,3.74,,8.65,,179,,1.11,,9.21,,0.151,L,0.005,,0.001,,8.71,,0.86,,0.46,,0.044,,228,,0.01,,0.094,,0.254,,67.7,,0.013,,0.697,,12,,3.42,,23.7,,2.4
2012PN200083,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-06-21 12:01,VERTICAL INTEGRATED,WATER,3.28,,10.7,,0.087,,0.45,,54.9,,0.005,,0.001,,13.8,,0.061,,0.044,,0.004,,0.05,,0.054,,1.44,,0.01,,0.01,L,0.001,,26.8,,0.024,,0.024,,4,,0.77,,0.789,,1.37,,0.002,L,0.005,L,0.001,,0.585,L,0.01,,0.24,,0.001,,181,L,0.01,,0.006,,0.016,,0.4,,0.004,,0.403,,0.305,,0.085,,1.1,,0.2,,4200,,0.176,,3,,126,,0.233,,0.056,,13.5,,0.101,,7.85,,0.768,,5.88,,2.71,,7.35,,1.31,,0.08,,0.008,,6720,,3.66,,3.51,,8.68,,166,,1.07,,8.56,,0.146,L,0.005,,0.001,,8.23,,0.82,,0.44,,0.041,,220,,0.01,,0.087,,0.15,,53.1,,0.015,,0.663,,11.1,,3.21,,21.6,,2.2
2012PN200084,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-06-21 12:13,VERTICAL INTEGRATED,WATER,402,,8.7,,0.069,,0.49,,43.3,,0.005,L,0.001,,22.8,,0.035,,0.055,,0.002,,0.06,,0.06,,1.3,,0.009,,0.01,L,0.001,,55.3,,0.034,,0.079,,5.11,,1.11,,0.636,,1.24,,0.002,L,0.005,L,0.001,,0.568,L,0.01,,0.2,,0.001,,163,L,0.01,,0.003,,0.007,,0.4,,0.004,,0.3,,0.301,,0.092,,0.6,,0.1,,3190,,0.133,,2.43,,96.8,,0.182,,0.045,,23.5,,0.077,,6.36,,0.589,,4.49,,2.1,,5.5,,1.01,,0.08,,0.008,,5470,,2.96,,2.67,,8.68,,141,,0.834,,6.53,,0.117,L,0.005,L,0.001,,6.7,,0.5,,0.3,,0.032,,181,L,0.01,,0.067,Q,0.62,,43.6,,0.011,,0.505,,8.58,,2.52,,16.3,,2
2012PN200085,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-06-21 12:15,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,8.9,,0.089,,0.48,,51.9,,0.007,L,0.001,,15.2,,0.034,,0.046,,0.003,,0.06,,0.054,,1.54,,0.009,,0.01,L,0.001,,35.3,,0.026,,0.081,,4.23,,0.65,,0.762,,1.37,,0.002,L,0.005,L,0.001,,0.527,L,0.01,,0.22,,0.002,,187,L,0.01,,0.004,,0.009,,0.3,,0.003,,0.383,,0.316,,0.082,,0.8,,0.1,,4070,,0.173,,3.05,,123,,0.235,,0.057,,16.1,,0.095,,8.12,,0.753,,5.84,,2.72,,7.17,,1.28,,0.07,,0.009,,6900,,3.71,,3.55,,8.99,,172,,1.02,,8.52,,0.146,L,0.005,,0.001,,8.11,,0.74,,0.42,,0.045,,211,,0.01,,0.087,,0.157,,53.1,,0.013,,0.673,,10.8,,3.35,,22,,2.4
2012PN200086,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:13,TRIPLICATE SAMPLE,WATER,,,21.1,,0.094,,0.47,,56.2,,0.006,L,0.001,,9.8,,0.055,,0.083,,0.006,,0.06,,0.054,,1.74,,0.015,,0.01,L,0.001,,31,,0.041,,0.046,,3.72,,1.31,,0.794,,1.35,,0.002,L,0.005,L,0.001,,0.57,L,0.01,,0.18,,0.002,,187,L,0.01,,0.006,,0.015,,0.7,,0.002,,0.417,,0.331,,0.102,,0.5,,0.2,,4280,,0.175,,3.29,,139,,0.25,,0.065,,13.4,,0.116,,8.59,,0.8,,6.15,,2.92,,8.02,,1.38,,0.09,,0.01,,7450,,3.97,,3.86,,8.75,,182,,1.12,,9.38,,0.149,L,0.005,,0.001,,8.52,,0.86,,0.45,,0.045,,227,L,0.01,,0.089,,0.168,,54.2,,0.013,,0.726,,11.3,,3.55,,23.4,,2.1
2012PN200087,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:18,TRIPLICATE SAMPLE,WATER,,,11.6,,0.097,,0.45,,56.9,,0.006,,0.001,,11.1,,0.03,,0.053,,0.004,,0.05,,0.051,,1.53,,0.01,,0.01,L,0.001,,28,,0.027,,0.044,,3.79,,0.58,,0.811,,1.34,,0.003,L,0.005,L,0.001,,0.571,L,0.01,,0.25,,0.001,,188,L,0.01,,0.006,,0.011,,0.3,,0.004,,0.433,,0.314,,0.086,,0.3,,0.2,,4310,,0.195,,3.3,,137,,0.25,,0.063,,11.6,,0.11,,8.81,,0.792,,6.22,,2.96,,7.93,,1.37,,0.08,,0.009,,7450,,4.12,,3.87,,8.71,,182,,1.14,,9.3,,0.15,L,0.005,,0.001,,8.47,,0.8,,0.47,,0.044,,228,,0.01,,0.093,,0.155,,55.4,,0.014,,0.732,,11.5,,3.58,,24.3,,2.2
2012PN200093,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2012-07-10 12:42,TRIPLICATE SAMPLE,WATER,3.1,,19.2,,0.07,,0.44,,44.5,,0.005,,0.001,,13.1,,0.01,,0.097,,0.006,,0.07,,0.037,,1.36,,0.012,L,0.01,L,0.001,,57,,0.055,,0.041,,3.7,,0.8,,0.661,,1.26,,0.008,L,0.005,L,0.001,,0.574,L,0.01,,0.17,,0.001,,190,L,0.01,,0.004,,0.025,,1.2,,0.004,,0.385,,0.255,,0.127,,0.5,,0.2,,3220,,0.16,,2.72,,107,,0.209,,0.057,,17.5,,0.085,,7.81,,0.726,,4.69,,2.25,,6.45,,1.07,,0.06,,0.008,,5570,,3.54,,3.28,,8.22,,143,,0.954,,7.08,,0.128,L,0.005,,0.001,,7.77,,0.56,,0.35,,0.036,,214,,0.01,,0.079,,0.197,,43.8,,0.011,,0.654,,8.83,,2.99,,19.3,,2
2012PN200094,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2012-07-10 14:05,VERTICAL INTEGRATED,WATER,5.4,,18.6,,0.075,,0.41,,42,,0.009,,0.002,,15.6,,0.008,,0.101,,0.004,,0.08,,0.044,,1.65,,0.012,L,0.01,L,0.001,,64.3,,0.055,,0.046,,4.08,,0.8,,0.723,,1.34,,0.007,L,0.005,L,0.001,,0.611,L,0.01,,0.14,,0.002,,178,L,0.01,,0.005,,0.013,,1.1,,0.004,,0.361,,0.257,,0.143,,0.4,,0.2,,3170,,0.157,,2.88,,109,,0.214,,0.057,,19,,0.085,,8.2,,0.717,,4.57,,2.31,,6.82,,1.11,,0.08,,0.008,,5750,,3.77,,3.39,,8.57,,154,,0.931,,7.2,,0.122,L,0.005,,0.001,,7.74,,0.56,,0.36,,0.037,,204,,0.01,,0.079,,0.192,,43.4,,0.013,,0.655,,8.73,,3.21,,20.1,,2
